,review,label
2722,such a crap movie for babies. the lorax is literal orange crap color. boring garbage made by money hungry pigs.,low
2728,"this isn't as dreadful as i had feared - it is actually, partially, redeemed by some really excellent underwater photography - and a suitably satisfactory denouement. halle berry is a diver whose on/off boyfriend olivier martinez manages to coax her into taking an arrogant, wealthy, brit and his son on a cruise to swim with sharks. the story is poor, predictable and very slow to develop. far too much of the jeopardy is created not from the sharks but from the rather odious millionaire brit; his son and the two leads' rather tiresome are they/aren't they relationship - and, it appears that berry has some history with sharks that resulted in her having had a near death experience. the dive footage of the sharks would have made for an interesting documentary on apex predators; the story ought just to have been shredded at birth...",low
2730,"with it's beautiful cinematography, steady pace, and understated acting, <i>byzantium</i> is solid modern gothic vampire tale. a bit reminiscent of <i>interview with the vampire</i> and <i>the moth diaries</i>, we see mother and daughter vampire in current day and through flashbacks and storytelling are told of how they came to be and the loneliness of their existence.

<i>byzantium</i> is a slow burn and never takes any drastic chances. it forgoes the cheese of many vampire films and remains melancholy throughout. this certainly won't be for everyone, yet there is definitely something worthy here.",high
2738,"decent watch, probably won't watch again, and can't recommend unless you're pregnant (or part of a couple with pregnancy).

it's one of those movies where it is 4-5 stories that barely (if at all) overlap, but have some thematic connection to one another.

i honestly think it's a great way to use celebrities to comprehensively cover the contents of the book of the same name.

this is (clearly) targeted at pregnant women and expecting parents, and i think it does a good job of that.

i don't think it does as great a job creating a decent narrative for general audiences.",low
2741,"> not for everyone, including me!

i usually like terrence malick's flicks, but not this one. his story narrations are always aims more on the action (not stunts) than the talkings. besides, spectacular visuals are highlights and his trademark, and again, not in this film. he really tried, but it was so boring movie in the recent time i have seen one. pardon me to mock him, but i had to say that the film looks like the one what willem dafoe trying to make one in 'mr. bean's holiday'. except here with me there is no mr rowan atkinson/bean to make the film an exciting with his genuine editings to add some fun stuffs. sorry, it goes straight to my 'i should have not watched it' list.

2.5/10",low
2751,"my expectations were pretty low, but i somehow actually ended up liking it even less than i thought i might. the big setpieces seem to be what _abraham lincoln: vampire hunter_ is all about, and they are **so bad**. just abysmal.

_final rating:★½: - boring/disappointing. avoid where possible._",low
2757,"ted is the poster child for the fact that every great concept doesn't automatically become a guaranteed winning project once it leaves the drawing board. this movie screams ""here's a great idea, but we just didn't know what to do with it."" whether it was because of lack of imagination or too many tokes on the community bong, nobody will ever know.

having a movie about a real-live teddy bear existing in the every day life of a 30-something underachiever sounds like a winning formula. however after the first few moments, the movie stalls, the dialog gets stale quickly and the majority of the story revolves around ted getting high and/or trying to bang shallow, attractive women (even though hasbro didn't include on him full, working equipment) while the main character tries to balance his 4-year ongoing relationship with a woman completely out of his league and his life-long thunder buddy (ted).

lewd, crude and rude, ted does little to entertain beyond the limited soph-moronic humor. unless you are a rabid fan of family guy or the 80s flash gordon, live in or around the boston area or think it's funny to hear the f-word every other second, this one won't be for you.",low
2760,"the visual effects where very good. unfortunately, that was about it. the script was just awful. i do not want to watch a movie about greek mythology just to see the gods being portrayed as week, loosing their power and ultimately disappearing.

i don’t know why so many writers today cannot do anything better than to take a well known setting and then totally destroy it for thrills. it seems like they all have some “lets-destroy-the-enterprise” complex.

to me the awful script ruined this movie. it became depressing despite the good visual effects.",low
2764,"**a disappointing rec experience** 

this movie left me disappointed because i definitely had better expectations following rec1 and rec2. the recording and shaky camera won't be there for the largest part, it's full of stupid/nonsense moments and the story isn't that engaging. they also added ""funny"" scenes for some reasons, totally breaking the suspense, therefore it won't even feel realistic at all. too much splatter for my taste too.

there are three positive things about rec3 though: it features great looking zombies, sounds are excellent, and fortunately it's short (only 80 minutes).

_(3 stars out of 10)_",low
2767,this movie was godly. no other like it. truly a spiritual experience.,high
2769,masterpiece,high
2777,"why this movie seem to get a lot of 7 and above ratings is beyond me. it’s certainly not my cup of tea. the three high school friends are behaving annoyingly stupid, reckless and irresponsibly. only one of them is showing any sign of intelligence. one of them is just silly and the other one is a nutcase. of course the film actually revolves around the nutcase.

it starts of kind of okay with the three friends finding this glowing alien thing which gives them superpowers and there are some mildly funny scenes when they experiment with them. after that it spirals out of control when the nutcase goes more and more insane.

i can live with the drama and bizarre behaviours if the movie would have had some other redeeming factors such as imagery or acting but none of it is present here. rather the inverse since the film shot in this wobbling-about handycam/documentary style which i really do not like.

i’m afraid that i found this movie not very entertaining.",low
2780,"the joke is firmly on us.

i myself like a lot of cinematic offerings that require the brain to be left at the door. there's something very calming about being able to sit back and drive oneself into a movie with absolutely no worries about themes, agendas, politico posturing and etc. what shouldn't be tolerated is when film makers ask you to not only leave your brain at the door, but to also dribble with it and slam dunk it into the nearest garbage can.

alexandre aja's 2010 redux of piranha was a whole bunch of fun, even away from the 3d, in 2d form it had a devilish glint in its eye, but this on the other hand is an embarrassment to all involved. who doesn't love the female form? whatever your sexual proclivities et al, you would have to be dead to not appreciate the splendour of eve's offspring. but when it's your main selling point, when you are only trying to please a very small movie watching demographic, then you got problems.

john gulager (director in the broadest context of the word) wants to craft a porky's for this latest hairy palmed generation, whilst he even thinks a touch of grindhouse might curry favour with the mall rats and skaters. everything about this picture stinks, the acting, the hopeless attempts at suspense, badly timed jokes, poor stereotyping, laughable effects work, and on it goes. standing up and saying it's meant to be tacky, corny and tongue in cheek just doesn't cut the mustard here, bad film making is just that, especially when it's done purely to make money.

right, i'm off to dive into a tank full of piranha fish, because that will surely be better than having to ever sit through this movie again. 1/10",low
2781,"the piranhas are back. why? not really sure, don't really care. but they are, and its a sad sight. this time they manage to lure their way into a water park, and you surely imagine what will happen. an endless amount of pointless killings, blood... everywhere. there are people too, mind you, a virgin, a greedy dude, a celebrity lifeguard, a couple of innocent youths and a corrupt cop, and more... but it matters not, they can't save eachother, and they certainly can't save this movie.

i have to admit, i knew what i was going into, but i still sad down and watched it. it was painful to say the least, and the few laughs that were provided, were... horrible forced laughs. i would really like to know which people love these type of movies and why they watch them. why i watched it, you ask? i wish i had a good answer.

anyways, my days watching anything remotely like this, are... over.

_last words..._",low
2782,"inventive title, 'hoff cameo, josh cut off his penis.

_piranha 3dd_ leans in hard on the stupid factor of the franchise, had this been coupled with a little more humour, that'd totally work, unfortunately, it's more dumb than fun. still a pretty good time if this is your sort of thing, but less so than even its predecessor.

_final rating:★★ - had some things that appeal to me, but a poor finished product._",low
2793,"the problems of a rich man to keep his position with his affairs and frauds.

nothing really special",low
2796,"“killing them softly” has a great noir setting, superb acting and excellent cinematography, but due to the endless pointless conversations, the thin storyline ends up being extremely incoherent.

4/10",low
2797,"rough watch, probably won't watch again, and can't confidently recommend, unless it's for younger audiences...and even then, probably no.

this movie feels like a first attempt.  tad is actually a charming underdog character, sarah plays well as an attraction for the lead and an independently grown character which shows so much intricacy from a writing perspective that the rest of the non-animal characters are baffling.

there is just so little here to work with that i don't have a lot to say.  the train action sequence was actually decent, but i was wasn't engaged with the movie for the majority of the time.

i think this is better skipped, but if you actually like this, then there is a sequel that is slightly better.",low
2798,jokes aren't funny. scene logic is stupid. it´s a movie about guys with plastics in action!,low
2800,"wreck-it ralph is a great movie with my love for games in there with it. the movie had some great childhood memories of mine, with all the characters from the best games. the graphics are excellent and the voice acting couldn't be better. this movie is great for adults and kids.",high
2805,"boring watch, won't watch again, and do not recommend.

after watching ""irrestitable"", i should have known better than to give this a try, but i was hoping the stars being the actual candidates would make it better, but it's still about nonsense politics and social manipulation.

if you like the actors, then you might get a bit out of it, but you could also just watch other good things they're in.

politics isn't fun for me, and there are a few absurd jokes that land, but for the most part it is a lot of work to setup jokes that just do not land.",low
2809,"the words obliquely poses the question, what would have happened if someone had found the suitcase full of papa hem’s manuscripts that hadley lost at the gare de lyon, and published the con-tent as his own work?

unfortunately, the answer is: not much. the problem, or one of them, is that the movie establishes too long a period of time between the loss of the manuscript — shortly after the end of wwi — and its publishing — presumably, the then-present day.

as we all know, hemingway eventually got over the incident and went on to become arguably the greatest author of the 20th century, essentially rendering the film’s premise moot.

co-directors brian klugman and lee sternthal’s script, however, conveniently has its homologous character, played by ben barnes as a young man and jeremy irons as an old nurseryman, give up writing forever following his soon-to-be ex-wife’s misplacement of his text.

needless to say, this is the least hemingwayesque thing to have done. here’s another couple of problems. wannabe writer rory jansen (bradley cooper) finds the briefcase in an antiques store in paris, and buys it; lo and behold, not only is the manuscript still inside, un-touched — from the gare de lyon in the 1920s to an antiques shop in the 2010s, the briefcase sure-ly must have exchanged hands often (now, there’s you film), and yet it didn’t occur to anyone to rifle through it on the odd chance that it might contain something of value —, but rory actually leaves it untouched (""he retyped every word as it was written on those pages. he didn't change a pe-riod, a comma, or even correct the spelling mistakes""), which doesn’t stop from going directly to the printing press.

it’s at this point that one yearns for a movie like genius, about famed editor max perkins — who worked with the likes of scott fitzgerald, thomas wolfe, and hem himself; even an ernest hemingway at the peak of his powers wouldn’t crap out a best-seller just like that, and it certainly wouldn’t hit bookstore shelves without undergoing extensive rewrites and editing work.

but i digress. the old man (who, again, lacks the testicular fortitude of both papa and the character to which his moniker is a reference) recognizes his work and confronts rory — but don’t expect anything along the lines of secret window; the old man ""just thought [rory] should know the story behind these stories in case anyone was to ask.""

this comes right after the old man admits ""i don't know how you did it. to be brutally honest, i don't care."" but if he doesn’t care, and he clearly ne-ver did, why should we? why even bother?

the whole thing becomes even less urgen when we consider that the old man’s tale is only a story within rory’s story, which in turn is a story within another story: the latest book by novelist clay hammond (dennis quaid), who is discussing it with literary groupie daniella (olivia wilde). enough to make you wonder if there’s a point to any of this drivel, and if so, what the hell it is.

ps. that rory’s adventure is a fictional yarn — which might be based on events in hammond’s life, and then again it might not — could explain that he and the old man live in a world where hemingway existed (a copy of the sun also rises makes a cameo, being read by the young man), but neither ever stops to consider for the briefest moment that their little mix-up is eerily similar to one of the best known anecdotes in western literature.",low
2811,"a highly entertaining yet disturbing film with superb cast and performances for an audience who would likely never consider watching a film fundamentally about slavery, where tarantino is masterfully and emphatically navigating and exposing the complex layers of the violent and dehumanizing system of slavery.",high
2812,"**entertaining from start to finish !!**

given i am a big fan of **quentin's** works i knew this movie would be a treat to watch.but what i didn't know was violence can be so **cool**... the movie is a treat to watch(including the blood and gore) from starting to end.the acting is superb.and the cinematography is just too good! the whole cast played their parts to perfection...especially **samuel l. jackson** and **jamie foxx**..**leo and christopher waltz** were superb too..and as christopher said in the movie - ""it was hard to resist"".a must watch for everyone who likes quality cinema..even the ones who cant stand booms and bangs, you wouldn't regret spending about 3 hours watching this well written, well directed and well acted great movie !!",high
2813,"this is one of the best movies i have watched in a long time. it is a pure tarantino blast. the somewhat unexpected and quite hilarious start of the movie catches your attention from the start and from then on it is 3 hours (almost) of pure enjoyment. 

the main actors are playing their roles very well. the dr. king schultz character (christop walz) is incredibly funny without being ridiculous, jamie foxx is excellent as django and leonardo dicaprio is doing his role well as a plantation owner and slave trader. none of the rest of the crew stood out as particularly bad. well with the possible exception of tarantino himself then when he made his usual in-movie appearance a’ la hitchcock. not that he was particularly bad but he is no actor either.

the movie starts of by dr. schulz liberating django and proceeding to a small town showing django what he is in the business of doing. those first minutes of the movie are somewhat unexpected and very funny to watch. after that the movie gets more serious as django gets to learn to be a bounty hunter and finally gets on with his quest to rescue his “damsel in distress”. it still has quite a bit of “tarantino humour” sprinkled around in it though.

during the movie we are treated to a long series of stereotypical people with, let us say, an “attitude” towards african people. it is tempting to say “nigger haters” but that would not be true since a lot of these people did not exactly hate them. they just did not consider african people to be people but more than live stock for them to use as they wished. unlike a lot of movies portraying these events this one never comes across as boringly finger pointing or overly morally lecturing. nor does it in any way support or glorify the way things were at this time. it is a movie made to entertain set in a period where bad shit happened and using it for the story. nothing more and nothing less.

as usual with a tarantino movie there are some violent parts, some more violent parts and some bloody violent parts in it. the ending fights are a glorious show of destruction and blood splatter. i am sure some people are complaining about the “unnecessary violence”. i am not one of those people. without these parts it would not be a real tarantino movie. as always it is made with the usual exaggeration that tarantino is so good and which reminds you that it is “only a movie”.
this is one of the few movies that i have given 10 out of 10 stars in a very long time. i enjoyed it immensely.",high
2814,"when django is unchained (pronounced jang-oh, not duh-jang-oh)

released in 2012 and directed & written by quentin tarantino, ""django unchained"" stars christoph waltz as an ex-dentist who befriends an ex-slave, django (jamie foxx) in west texas a couple of years before the civil war; they team-up as bounty hunters once they realize how good they jell. the second half focuses on their attempt to infiltrate a mississippi plantation owned by pompous southerner ""monsieur"" candie (leonardo dicaprio) in order to rescue django's wife (kerry washington). samuel l. jackson plays candie's overly loyal house slave.

this is an excellent american western with spaghetti western elements featuring tarantino's typical artistic flourishes. it takes place in the west and in the south, which is reminiscent of the underrated ""nevada smith"" (1966), one of my favorite westerns. waltz is magnetic as the nonchalant protagonist and he & foxx have good chemistry. there's a nice mix of interesting dialogues, amusing moments and over-the-top action. unfortunately, but to be expected, tarantino goes overboard with the 'n' word and the blood-letting, the latter to the point of cartoonish-ness. 

nevertheless, this is an original western that is vibrant with creativity, including stunning locations, cinematography and a great amalgamated soundtrack/score, which includes cuts by ennio morricone, like the excellent ""hornets' nest,"" the imaginative ""the braying mule"" and the moving ""ancora qui."" it's all-around superior to ""the hateful eight"" (2015) because it's not limited by a one-room whodunit plot (although ""hateful"" has its unique points of interest).

the movie runs 165 minutes and was shot in jackson hole, wyoming; evergreen plantation & new orleans, louisiana; and several locations in california (lone pine, alabama hills, semi valley, melody ranch, santa clarita, independence & los angeles). the cast includes numerous peripheral notables, e.g. ato essandohs, don stroud, james remar, bruce dern, ato essandoh, franco nero, don johnson, amber tamblyn and several others.

grade: a",high
2816,"mandingo. d'artagnan. slave abuse. tarantino's technique of capturing the painful discrimination against blacks head-on and, on the contrary, making it cathartic in the final scene is brilliant. starting with the impressive theme song, nonstop violence replaces it, giving us a glimpse into the kaleidoscope of horrific american society. leonardo dicaprio's monstrous performance and christoph waltz's near-perfect supporting turn are the main reasons for the film's appeal, but quentin tarantino's screenplay, which deliberately intersects revenge and black racism and ends up making us sneer at those who looked down on the slaves, is nothing short of brilliant.
next to ""pulp fiction"" this is quentin's best film.",high
2820,"watching it again after 8 years, my feelings about this installment remains the same. guess i found it easier to watch after revisiting the franchise but still think the plot was weak, even by the standards of the series, and while i know it’s based on a video game, really wish the movie didn’t feel like one, even more so than the previous installments. still like jovovich in the role of alice, in fact, and take this for what you will, is the strongest actor of the ensemble with guillory turning in an especially awful performance (at least under the umbrella corp’s influence). easily this is the weakest entry. **1.5/5**",low
2829,"horrible movie!!!
it is one of the least funny comedies i've seen in my life. the dirty language is not helping at all and it seams they use only to make the movie look cool or to shock the audience and it feels like that - very unnatural.",low
2836,"an ok script that is marred by bad acting and completely lackluster camera work. i feel like i need to blame james franco yet again. yes, i think i will.

""it is entirely james franco's fault that this movie sucks.""",low
2843,"there are many spy thriller films which have been successful in entertaining the audiences, but ek tha tiger is the worst film of all time.

first, i thought that it would be an entertaining movie, but it was only after watching the film that i realized that for the very first time, in case of an action movie, i was wrong. the film would have been entertaining if there was something more like action. there is overdose of romantic and dramatic scenes which draws us towards tedium.

 the songs are good, but due to their poor placement ,they do not look entertaining at all. performances have been the worst on the part of each and every actor. the action scenes are just ok, but that is not enough. something is missing.

besides, the film also falls flat in terms of a crisp editing. but i am sure that if the editors had used their scissors in the film, 90% of the film would have gone out.

 on the whole, ek tha tiger fails as a film.it is a big,big,big disappointment. watch it if you want to be disappointed.

rating: 0.5/5",low
2844,"marion cotillard and matthias schoenaerts stun in this exceptional drama/romance. 

driven by intense inner demons, schoenaerts destroys everything around him, only to build it back up in a gripping climax that nearly had me in tears. 

this was amazing. i have loved everything that i've seen schoenaerts in and i look forward to exploring more.",high
2845,"this movie had such great potential. if it just followed the compelling short description of the movie, instead of making that short description nearly everything that happens in the movie, it would be intriguing. this was the most tedious, redundant and gratuitous movie i've seen in a very long time. i expected the gratuitous ... it opened with an extended ""girls gone wild"" sequence. but then it showed that sequence again, and again and again, then again, and again and again! this would be a ""one-star"" without james franco. once he is introduced you are captivated by his transformation into a wannabe gangsta rapper, especially given his tame, disney-esque acting in ""oz, the great and powerful."" but then the tedious redundancy corrupted even his performance. the cinematography is interesting but with little plot and the unrelenting repetitiveness, even that became another irritant. if they removed all of the redundant scenes i think the movie would have been 30 minutes long.",low
2847,"well scripted, well performed, well staged.

a round movie with a fantastic mads mikkelsen. honestly, i think this movie would have been even better with some more minutes on it to develop the plot even further.

fantastic directing.",high
2848,"viewers beware: this is not an easy or light watch.

mads mikkelsen absolutely kills it as a somewhat lonely single man, who suddenly finds love and welcomes his son to live with him.

that's all i'll reveal in the review, no spoilers here.

but again, this isn't a light film, nor should it be. this tackles the subject matter with the poise it deserves, with stunning performances from mads as well as the entire supporting cast. the script and cinematography lend themselves perfectly to the task at hand, delivering a well-crafted portrayal of love, friendship, and ruin.

excellent.",high
2850,"“my disappointment is immeasurable and my day is ruined.” yeah, i’m going to use a meme to describe the film, since that’s what it is. in any case, what the hell. in my opinion, this is one of the most pointless films ever made. this doesn’t work either as a continuation or as a standalone film. it’s a massive slap in the face to the people who have supported the series throughout the years. the other films weren’t exactly masterpieces, but they all kind of worked; i’m disappointed to see that this one is just a blatant cash grab. to top it all off, it’s the least frightening of the bunch. if you plan on seeing this, prepare to be disappointed.
___
rating: ***4.5/10*** *(more unfavourable than favourable)",low
2854,"an endlessly fascinating and compelling story involving rodriguez, a talented american singer-songwriter that should have been a household name, but instead quickly faded into obscurity. long rumored to have died under tragic circumstances, his music develops a cult following among the afrikaner youth. rebelling against the oppressive and isolationist system of apartheid, rodriguez's music becomes a soundtrack for their lives. the documentary unfolds like a mystery story with unexpected twists and turns along the way. as the audience is taken on this journey, we are introduced to rodriguez's songs (including some previously unreleased material) which while reminiscent of bob dylan and other artists on the scene in the early 1970s, the music is distinctly his own. a must see documentary for music fans.",high
2855,"this is probably the most enjoyable documentary film i've ever seen. it's about a singer from the 70s whom i've never heard of (although i'm old enough) even though he's clearly a better poet and songwriter than bob dylan (yes, i said that and i'm a poet so there's my credentials). if you know anything about the record industry, and about the reality of discrimination in the united states, then it's easy to understand how a mexican singer/song writer of the 70s was ignored by the payola controlled djs of the time and screwed by the record industry. the low-budget film itself is full of surprises, and the culmination of the search for sugar man is totally uplifting and heartwarming. if you love the music genre, this film is a must see - even if it's only for the delicious sound track.",high
2856,"**quick review**

student of the year aka soty had a pretty good expectations, considering its youngistan theme, makers and star cast of the film, and not to forget the appealing storyline of it. however it had indeed satisfied the expectations, and further more had hit the right chord to their target audience. on the other hand, the movie was compared with many other movies which had similar kind of themes (college campus), but soty is an altogether a complete film with different storyline, and thus provides you a totally fresh and entertaining product.

**story**

it is the story about three friends - abhimanyu singh, rohan nanda and shanaya singhania - and their group of buddies. rohan nanda aka ro (varun dhawan) is a rich son of a well-known business tycoon nanda (ram kapoor), and rules the st. teresa's high school (dehradun) with his style, attitude and riches. he is quite flirty among other girls, but has a beautiful and gorgeous girlfriend, shanaya (alia bhatt). also though ro was a rich son of an entrepreneur, but he had a soft heart for everyone. shanaya is a rich modern girl, who thinks herself as a fashion designer, and rules the college with her charm, beauty, and sex-appeal. now the entry of abhimanyu aka abhi, he hails from a small town and aspires to become a big person one fine day. abhi rules the college with his style, attitude and a perfect victory in everything. this irks ro, and the two often clashes with each other. however because of his soft heart, both of them became friends and then best friends.

the turning point comes when an unexpected love triangle happens between ro, abhi and shanaya, which is further followed by the 'student of the year' competition in st. teresa's high school. how these three people copes up with their complicated relationship, and eventually who wins the coveted trophy of student of the year, forms the crux of the story.

**final verdict**

it's a new age mixture of kuch kuch hota hai and jo jeeta wohi sikander, with a complete different and engaging storyline. on the whole, karan johar's 'student of the year' is a perfect film for all the youngistan, a perfect film for entertainment, and a perfect film to watch it again and again. 'student of the year' is the 'film of the year' for the youth gang.",high
2857,"wow, a lot of negative reviews here are attacking d'souza because of his race and some are doing it while suggesting that they are against racism... which is it?

anyways, the majority of the 1 stars are from people that clearly didn't watch the film. so i am giving it 10 to counter balance the bs.

it doesn't deserve 1 star, partially because d'souza made a lot of predictions, especially with the military and killings that came true. but there were others as well, so a part of him had obama pegged enough to, well, to deserve more than 1 star.

however, d'souza is a propagandist and this has a clear bias that goes well beyond just being conservative, so he doesn't deserve the 10 stars i gave him either. there are parts of this that are incorrect and parts that have gone far too far.

however, he gets 10 stars anyway, mainly because a lot of the 1 star reviews here are attacking d'souza because he's an indian and, honestly, i don't like racists. and those are pretty racist reviews. so i'm counter balancing it.",high
2859,"the synopsis is available elsewhere and i have no idea how to review a film like this so here are a few simple lines:  i have never seen anything remotely like this and would go as far as to say that it is one of the most honest portrayals of several aspects of the human psyche i have ever experienced in any medium.  it's not a pleasant film but i can't give it any less than full marks for its bravery, arrogance and honesty when dealing with an uncomfortable aspect of our species. 

joshua oppenheimer (dir.) understands the social norms of his subjects' environment and also their own egos and greed, shows us so that we also understand and then uses all he has learned to get them to openly reveal all directly to the audience, pretty much by luring them.  it's obvious that with the backstory and footage used he already had more than enough for a documentary film and it seems as though he thought 'i have a better plan' and then made this film instead, in the ultimate quest for knowledge. beyond words and essential.

note: there is a companion to this called 'the look of silence', which is a different type of film altogether and one that sheds much extra light onto the the events of this time and place but from a different perspective and this is also recommended, albeit not as strongly.",high
2861,"boring, boring, boring...",low
2864,"**overall : an incredibly inspiring story told with gravitas, quality, skill, and class.**

to see a film celebrate the character, resilience, and endurance of a man that withstood prejudice, violence, and bigotry without returning hatred with hatred is just inspiring—brilliant cast with incredible performances. the film focuses on the maturity and bravery of robinson in overcoming enormous opposition. 42 tells the story well while still capturing the weight and pressure of each moment of the game. i could see robinson’s skill as well as his motivation and resolve. this movie portrays the sport of baseball well but is ultimately about the power of character in the face of overwhelming opposition and how it can change attitudes, hearts, and minds.",high
2865,"love this movie. i find myself coming back to this one over and over. great animation, cool creatures, fun story.",high
2869,"when i first saw the trailer, i was a little excited.

man of steel is the first of many films of what would now be known as dceu. 

zack snyder did a really brilliant job directing this movie - it was amazing! henry cavill was superb as superman and michael shannon was brilliant as zod. and a hat tip to russell crowe's performance.

the best superhero film in 2013.",high
2871,"yeah... i have an issue with superman dark, i'm sorry, it just doesn't work for me. batman, yeah, you can make him dark. batman can be brooding. batman can be extremely serious.

in fact, with the exception of mayor adam west's batman, making the character light and fun doesn't really work.

but this is superman, and he is a light character. you can make serious superman stories, you can make dark superman stories, and they work... but not when you make superman a dark and brooding character.

when that happens, it feels like man of steel, a superman movie that is trying really hard to be batman.",low
2877,"**put's the zzz in zombie**

first time i saw it 3 odd years ago i was not impressed.

decided to give it another go though today, which i wish i hadn't cause it was even worse and more dull than i remember.

now when i say dull i don't necessarily mean that it lacks action (it has a bunch of scenes with action, and being that these zombies run superfast unlike the typical zombies in film and series perhaps even a bit more than the average) but lack of interesting characters or good actors and any sort of originality in script makes it a tired ride.

brad pitt is not necessarily a great actor but he seriously did his most barebones performance here, you were just on the run from zombies with cars flying over and all kinds of stuff but you barely show any sort of emotion? borderline steven segal territory ocassionally, or at the very least jean claude van damme... but without the fighting skills.

so yeah not an impressive film.",low
2879,"**world war z makes the zombie hordes even more terrifying in their relentless need to consume, coupled with their fury, speed, and inevitability. no zombie movie comes close to the horror and intensity of world war z.**

world war z finally presents zombies as an overwhelming wave of death and destruction, an actually foreboding menace. other zombie films shuffle about with slow shamblers whose vast numbers make them dangerous, but not in world war z. these zombies' are unstoppable in their lust for human flesh, desperately climbing over each other to attempt to satiate their endless hunger. world war z makes the fall of the world to the zombie plague believable for the first time. the film's frenzied pace personifies the panic and hopelessness of survival. brad pitt frantically scours the globe for hope and a cure, and the breakneck speed of the plot comes screeching to a halt in the final act bringing the crazed terror up close and intimate with unending anxiety. world war z gives us the most extraordinary and unparalleled zombie movie to date and a frightening and wild ride from start to finish.",high
2880,"**world war z makes the zombie hordes even more terrifying in their relentless need to consume, coupled with their fury, speed, and inevitability. no zombie movie comes close to the horror and intensity of world war z.**

world war z finally presents zombies as an overwhelming wave of death and destruction, an actually foreboding menace. other zombie films shuffle about with slow shamblers whose vast numbers make them dangerous, but not in world war z. these zombies' are unstoppable in their lust for human flesh, desperately climbing over each other to attempt to satiate their endless hunger. world war z makes the fall of the world to the zombie plague believable for the first time. the film's frenzied pace personifies the panic and hopelessness of survival. brad pitt frantically scours the globe for hope and a cure, and the breakneck speed of the plot comes screeching to a halt in the final act bringing the crazed terror up close and intimate with unending anxiety. world war z gives us the most extraordinary and unparalleled zombie movie to date and a frightening and wild ride from start to finish.",high
2881,"the wolf of wall street is so addicting to watch, that even with it's 3 hour long run time, you wont be surprised if you end up watching it four days in a row. <br>
     this is scorsese letting loose and having fun, showing all of the debauchery (and man, is there a lot) in all of it's glory. there are orgies, sex, nudity, copious amounts of drug use, and it now holds the record for the most use of fuck in any film. <br>
     leonardo dicaprio gives a towering and hilarious performance as jordan belfort. he throws himself into the role with free abandon, while also showing that he's aces when it comes to comic timing and physical comedy. if he doesn't win an oscar this season i'll be quite upset, though matt from dallas buyers club rightfully deserves it as well. but this is a 3 hour long film, and leo is in every single second of every single scene. he's ferocious, hilarious, out of his mind, and flat out brilliant.<br>
     the supporting players are tops as well. i was somewhat baffled when jonah hill earned a nominee for moneyball, but this time around he rightfully deserves this years nominations. with his pearly white teeth, charisma, while also throwing himself into the role with no fear, this is without a doubt his greatest work as an actor to date. the real find, however, is margot robbie. strikingly beautiful, her character could have been one note, but she also hits the ball out of the court. even matthew macconaughey steals the show with only one scene. <br>
     dangerously funny, superbly edited, and with a delicious, irreverent, savage bite. the wolf of wall street is scorsese at his wildest. and it goes without saying, that this is one of the best films of last year. just stay away if you are in any way a prude or conservative. 
     rated r- graphic nudity, strong sexual content, drug use throughout, pervasive language, and some violence.",high
2884,"i didn't care for the characters, but i damn did have a great time watching <em>'the wolf of wall street'</em>. it's absolutely nuts, and i mean that in a positive way.

leonardo dicaprio simply never puts an acting foot wrong, this is the sixth film i've seen of his and i love <em>(fwiw: all 9/10+)</em> them all. phenomenal actor! he is outstanding here as jordan belfort, the guy this film is based upon. as noted, i didn't really ever care for jordan but dicaprio makes it impossible not to enjoy watching events throughout.

jonah hill (donnie) comes in with a very good performance, the type of which i hadn't previously seen from him; closest being, in terms of quality, <em>'moneyball'</em>. margot robbie, meanwhile, isn't easy to forget as naomi. though none of the following standout big, it's pleasant to see jon bernthal, matthew mcconaughey and jon favreau, among others, appear.

the almost three hour run time, aside from a couple of moments, goes by fairly quickly. a big reason for that is the sheer bonkers nature of the plot, which goes in so many different directions it's impressive. it doesn't, as i've already mentioned, breed likeability for the characters but i definitely had a fun time watching it all unfold. i guess it depends on what you, as a viewer, prefer. i got the desired amount of entertainment.",high
2886,"an amazing bio pic of jordan belfort that has everything you'll ever want: comedy, drama, romance, heart and the list goes on. this movie was an absolute joy. the acting was superb in this movie all around. leonardo dicaprio gives one of his best performances of his career. jonah hill and margo robbie were fantastic! for a movie that was almost three hours, it flew by and was incredibly engaging. i can not believe it took me this long to see it.

**score:** _90%_
**verdict:** _excellent_",high
2889,"jackson turned a great story into just another prates of the caribbean. jumping, sliding, gags, etc. all the thinking parts are gone.",low
